fileName,mode,time,pps,score,lines,pieces,finished,goal,timeStamp
2018_12_19_16_13_42.rep,LINE RACE,5106,1.1870714,0,40,102,False,40,2018-12-19T16-13-42
2018_12_20_16_03_21.rep,LINE RACE,5200,1.1771494,0,40,103,False,40,2018-12-20T16-03-21
2018_12_20_16_07_02.rep,LINE RACE,4753,1.3257576,0,41,106,True,40,2018-12-20T16-07-02
2018_12_20_16_16_46.rep,LINE RACE,4706,1.3262486,0,40,105,False,40,2018-12-20T16-16-46
2018_12_20_16_21_16.rep,LINE RACE,4219,1.4224751,0,40,101,False,40,2018-12-20T16-21-16
2018_12_21_13_38_39.rep,LINE RACE,5557,1.2742981,0,43,119,True,40,2018-12-21T13-38-39
2018_12_21_13_40_50.rep,LINE RACE,4346,1.4223245,0,40,104,False,40,2018-12-21T13-40-50
2018_12_21_13_47_12.rep,LINE RACE,4574,1.3251694,0,40,102,False,40,2018-12-21T13-47-12
2018_12_21_13_55_58.rep,LINE RACE,4573,1.351706,0,40,104,False,40,2018-12-21T13-55-58
2018_12_21_14_01_11.rep,LINE RACE,4210,1.454027,0,40,103,False,40,2018-12-21T14-01-11
2018_12_21_14_06_29.rep,LINE RACE,4031,1.5186105,0,40,103,False,40,2018-12-21T14-06-29
2018_12_31_07_08_29.rep,LINE RACE,5041,1.3333334,0,42,113,True,40,2018-12-31T07-08-29
2018_12_31_07_11_08.rep,LINE RACE,4769,1.283557,0,41,103,True,40,2018-12-31T07-11-08
2018_12_31_07_16_18.rep,LINE RACE,5178,1.2401005,0,41,108,True,40,2018-12-31T07-16-18
2018_12_31_07_22_44.rep,LINE RACE,4525,1.3660477,0,40,104,False,40,2018-12-31T07-22-44
2018_12_31_10_16_18.rep,DIG RACE,2105,0.94106466,0,21,34,None,None,2018-12-31T10-16-18
2018_12_31_10_19_38.rep,DIG RACE,2480,1.0407423,0,24,44,None,None,2018-12-31T10-19-38
2018_12_31_10_22_09.rep,DIG RACE,2960,0.9935789,0,24,50,None,None,2018-12-31T10-22-09
2018_12_31_10_24_12.rep,DIG RACE,3010,1.0169492,0,28,52,None,None,2018-12-31T10-24-12
2018_12_31_10_25_06.rep,DIG RACE,2154,1.0032513,0,22,37,None,None,2018-12-31T10-25-06
2018_12_31_10_26_27.rep,DIG RACE,3082,1.0321324,0,29,54,None,None,2018-12-31T10-26-27
2018_12_31_10_27_54.rep,DIG RACE,2488,1.0373944,0,26,44,None,None,2018-12-31T10-27-54
2018_12_31_10_28_41.rep,DIG RACE,2124,1.0456901,0,24,38,None,None,2018-12-31T10-28-41
2018_12_31_10_30_13.rep,DIG RACE,2391,1.1297071,0,26,46,None,None,2018-12-31T10-30-13
2018_12_31_10_32_28.rep,DIG RACE,2647,1.0884354,0,28,49,None,None,2018-12-31T10-32-28
2018_12_31_10_37_09.rep,DIG RACE,2480,0.9923356,0,24,42,None,None,2018-12-31T10-37-09
